epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,3520.82,0.87258,0.78281,0.99886,0.43227,0.51203,0.44238,0.26627,1.9134,1.94073,1.86835,0.0002377,0.0002377,0.0002377
156,3542.72,0.84771,0.77343,1.03715,0.53353,0.43469,0.45544,0.27218,1.89429,1.97046,1.85353,0.00023275,0.00023275,0.00023275
157,3565.41,0.9006,0.88916,1.07306,0.54629,0.43987,0.45015,0.27469,1.87137,1.98322,1.84147,0.0002278,0.0002278,0.0002278
158,3587.69,0.85482,0.73887,0.98194,0.51898,0.43537,0.44441,0.26789,1.87016,1.95498,1.84055,0.00022285,0.00022285,0.00022285
159,3609.79,0.80031,0.7143,0.97111,0.49339,0.4286,0.43256,0.2618,1.89997,1.97562,1.84892,0.0002179,0.0002179,0.0002179
160,3631.83,0.79566,0.70346,0.96115,0.47405,0.4233,0.43188,0.26179,1.89652,1.9772,1.85123,0.00021295,0.00021295,0.00021295
161,3653.79,0.83674,0.75778,1.01377,0.40603,0.49975,0.43354,0.25621,1.90164,1.99526,1.86483,0.000208,0.000208,0.000208
162,3675.97,0.82188,0.75159,0.99781,0.52037,0.40293,0.43201,0.26054,1.90184,1.98729,1.86882,0.00020305,0.00020305,0.00020305
163,3697.93,0.77492,0.71702,0.97506,0.50136,0.41904,0.43355,0.26486,1.87621,1.97255,1.85466,0.0001981,0.0001981,0.0001981
164,3720.33,0.79058,0.71044,0.96214,0.45515,0.48952,0.44069,0.26264,1.88352,1.93284,1.86899,0.00019315,0.00019315,0.00019315
165,3742.59,0.83319,0.76254,0.97777,0.47789,0.47275,0.44366,0.26275,1.88647,1.9318,1.85409,0.0001882,0.0001882,0.0001882
166,3764.82,0.7868,0.7077,0.96996,0.52413,0.46014,0.44601,0.25743,1.92671,1.94688,1.88267,0.00018325,0.00018325,0.00018325
167,3786.3,0.8432,0.76264,0.9985,0.52133,0.45478,0.44446,0.2552,1.93289,1.94841,1.89083,0.0001783,0.0001783,0.0001783
168,3808.18,0.77242,0.69817,0.96436,0.50766,0.44725,0.44375,0.25639,1.92869,1.96026,1.89369,0.00017335,0.00017335,0.00017335
169,3829.81,0.87126,0.8981,1.06284,0.50786,0.45392,0.44953,0.26119,1.92618,2.00136,1.90471,0.0001684,0.0001684,0.0001684
170,3852.27,0.74984,0.67062,0.94326,0.51168,0.44708,0.44748,0.263,1.9378,2.01103,1.931,0.00016345,0.00016345,0.00016345
171,3875.63,0.79048,0.69214,0.95777,0.54083,0.44352,0.45366,0.26429,1.93477,2.00354,1.93662,0.0001585,0.0001585,0.0001585
172,3897.92,0.77695,0.6998,0.94984,0.51757,0.45218,0.45035,0.26578,1.92772,1.98717,1.93271,0.00015355,0.00015355,0.00015355
173,3919.66,0.8035,0.79523,1.00282,0.51381,0.45231,0.44858,0.26196,1.91747,1.96493,1.92031,0.0001486,0.0001486,0.0001486
